DATE,TARGET
01-08-2019,1.74978
01-09-2019,1.711305
01-10-2019,1.764043
01-11-2019,2.051278
01-12-2019,2.28513
01-01-2020,2.486572
01-02-2020,2.334874
01-03-2020,1.539327
01-04-2020,0.3290967
01-05-2020,0.1179264
01-06-2020,0.6457331
01-07-2020,0.9860818
01-08-2020,1.309645
01-09-2020,1.371325
01-10-2020,1.182066
01-11-2020,1.174536
01-12-2020,1.362005
01-01-2021,1.39977
01-02-2021,1.676215
01-03-2021,2.619762
01-04-2021,4.159695
01-05-2021,4.992707
01-06-2021,5.391451
01-07-2021,5.365475
01-08-2021,5.251272
01-09-2021,5.390349
01-10-2021,6.221869
01-11-2021,6.809003
01-12-2021,7.036403
01-01-2022,7.479873
01-02-2022,7.871064
01-03-2022,8.542456
01-04-2022,8.25863
01-05-2022,8.581511
01-06-2022,9.059758
01-07-2022,8.524815
01-08-2022,8.262692
01-09-2022,8.20167
01-10-2022,7.745427
01-11-2022,7.110323
01-12-2022,6.454401
01-01-2023,6.410147
01-02-2023,6.035613
01-03-2023,4.984974
01-04-2023,4.93032
01-05-2023,4.047609
01-06-2023,2.969178
01-07-2023,3.17778
01-08-2023,3.665112
01-09-2023,3.699698
01-10-2023,3.241145
01-11-2023,3.137271
01-12-2023,3.352123
01-01-2024,3.090885
01-02-2024,3.153171
01-03-2024,3.477385
01-04-2024,3.357364
01-05-2024,3.269029
01-06-2024,2.971397
01-07-2024,2.894753
01-08-2024,2.53073
01-09-2024,2.440633
01-10-2024,2.597905
01-11-2024,2.74938
01-12-2024,2.888057
01-01-2025,3.000483
01-02-2025,2.821549
01-03-2025,2.390725
01-04-2025,2.311289
